log(chl);log(rrs443);log(rrs490);log(rrs510);log(rrs560);DOY
-0.238072162;-2.604710834;-2.54699526;-2.54809695;-2.624104763;241
0.568670978;-2.739638543;-2.700654639;-2.574792438;-2.49588229;160
-0.995678626;-2.458399042;-2.451609353;-2.597373104;-2.926946244;237
-0.102647866;-2.574868961;-2.553117368;-2.598174679;-2.791952267;250
0.812177774;-2.95803403;-2.975097068;-2.890994817;-2.920409263;103
-0.475928584;-2.248276972;-2.326554411;-2.433786489;-2.683010155;230
-0.203772686;-2.405787946;-2.390788088;-2.431440776;-2.578428153;234
-0.224025669;-2.151966456;-2.229745812;-2.254400623;-2.414828144;256
-0.721246399;-2.454421751;-2.475955351;-2.604846835;-2.927905682;125
-0.14691047;-2.407889225;-2.395530184;-2.45232336;-2.612090222;239
-0.69572495;-2.345300213;-2.390098385;-2.47939242;-2.710344838;232
-1.096910013;-2.112537037;-2.278542073;-2.467733553;-2.822530453;137
-0.03574037;-2.584729429;-2.580585392;-2.609004167;-2.762619656;169
-0.135429593;-2.132266537;-2.030732808;-2.00723173;-1.993712676;186
-0.46133831;-2.19861207;-2.193385881;-2.24750419;-2.409481834;208
-0.469800302;-2.371949543;-2.47302887;-2.591342566;-2.920173221;138
0.247113642;-2.477040527;-2.430902792;-2.441689075;-2.506372029;234
-0.133712661;-2.469429324;-2.465170558;-2.516530385;-2.71093796;132
-0.202040356;-2.359983915;-2.445997741;-2.549431141;-2.827404949;161
0.12264177;-2.727519499;-2.731758175;-2.745104771;-2.881974152;143
0.012204296;-2.748633633;-2.745317329;-2.732118018;-2.842367978;104
0.393224116;-2.728787996;-2.685091722;-2.625039323;-2.612883652;167
0.264345507;-2.565338339;-2.583618316;-2.643016881;-2.841512063;135
-0.074687909;-2.947059169;-2.934605918;-2.889009173;-3.065070498;276
-0.459357746;-2.255033952;-2.313598814;-2.439197356;-2.712607013;185
-0.617982957;-2.411917407;-2.490925903;-2.59178158;-2.855605151;211
-0.244125144;-2.393366624;-2.399446363;-2.477331243;-2.72372804;138
0.679881942;-2.87853602;-2.801572215;-2.791985354;-2.850137315;108
-0.096774317;-2.620116774;-2.697259218;-2.7267924;-2.928644249;111
-0.68613278;-2.031416055;-2.194800398;-2.261884151;-2.52715363;227
0.060320029;-2.459169561;-2.473210376;-2.543436302;-2.767381458;154
-0.107071018;-1.690211301;-1.655584086;-1.690173614;-1.814384053;241
0.169968174;-2.627569116;-2.634721538;-2.632959943;-2.74265051;252
0.991292544;-3.123897101;-3.097660905;-3.030210066;-2.971449487;123
-0.107905397;-2.533782826;-2.567044652;-2.615647303;-2.82134501;92
-0.472463116;-2.592504571;-2.592959562;-2.568597312;-2.753027745;276
0.049218023;-2.837810611;-2.740862394;-2.707338629;-2.756576717;132
0.079181246;-2.528524193;-2.495581881;-2.552936593;-2.709679071;179
-0.465973894;-2.393433884;-2.454242367;-2.550980823;-2.768878443;155
-0.064996849;-2.603885776;-2.591859119;-2.591990136;-2.719996517;133
-0.127261173;-1.90454247;-1.993931423;-2.004234186;-2.174177485;247
-0.171984936;-2.60889421;-2.61827625;-2.644042066;-2.769041465;249
-0.93930216;-2.326100973;-2.432292126;-2.55380391;-2.841382736;224
-0.017955021;-2.326487355;-2.49531252;-2.58570468;-2.901010706;102
-0.823908741;-2.315418795;-2.365467817;-2.463070798;-2.718098684;189
-0.403402904;-2.292265589;-2.379333742;-2.490603769;-2.772733829;214
-0.144783805;-2.462150568;-2.485411742;-2.515272342;-2.653371277;226
-0.116906641;-2.9625739;-2.803791196;-2.830340846;-2.968896659;173
-0.337242168;-2.284452069;-2.170801629;-2.133972311;-2.112889072;206
-0.795880017;-2.313865336;-2.363035744;-2.453004525;-2.683053694;189
0.060055365;-2.406694767;-2.442368302;-2.509601967;-2.701325698;180
0.327358934;-2.643895709;-2.620790781;-2.602572066;-2.645411604;149
-0.171018046;-2.281201631;-2.275093796;-2.307515908;-2.495437667;244
-0.107348966;-2.231139851;-2.305807182;-2.387827764;-2.63758916;152
0.180412633;-2.553241393;-2.495304776;-2.503854311;-2.637466446;151
-0.255315937;-2.335405311;-2.435457852;-2.485684464;-2.700708922;126
0.081980285;-2.458800056;-2.490096718;-2.530344373;-2.703144683;242
-0.2915791;-2.347423566;-2.366109978;-2.419154595;-2.58101995;214
-0.457174573;-2.218880956;-2.253347589;-2.325395564;-2.519174135;186
-0.629857153;-2.451146927;-2.512689073;-2.59904829;-2.819767429;180
-0.505845406;-2.448654807;-2.485598099;-2.561645491;-2.816817594;94
0.430397591;-2.96158253;-2.876985427;-2.843633812;-2.909279675;101
-0.268209846;-2.11144531;-2.129538739;-2.204259813;-2.454758837;254
0.554731377;-2.905418827;-2.776997301;-2.759928739;-2.791488506;143
-0.170535407;-2.352324762;-2.357844245;-2.410602717;-2.582185657;258
-0.412289035;-2.113048997;-2.107143656;-2.154690944;-2.311341471;228
-0.302770657;-2.061954305;-1.991958085;-2.049809872;-2.218051353;240
-1.657577319;-2.329017955;-2.301577552;-2.331069879;-2.456488457;226
0.37816161;-2.841257968;-2.923856021;-2.892393917;-2.93809386;94
-0.249877473;-2.326279622;-2.34196875;-2.381764412;-2.553426954;251
0.289365952;-2.276566413;-2.266580427;-2.306736692;-2.421757566;176
-0.372122305;-2.28350276;-2.324443902;-2.403145702;-2.617065781;218
-0.104577454;-2.468611783;-2.518062014;-2.593462034;-2.820101371;125
-1.059568191;-2.373279612;-2.416050874;-2.510292613;-2.740877221;193
-0.678070331;-2.70557015;-2.679810494;-2.670385739;-2.788828447;213
-0.043828834;-2.465468273;-2.44791732;-2.475902339;-2.602870272;176
-0.029941509;-2.36003396;-2.429131578;-2.523328618;-2.783438265;223
0.172515363;-2.710285771;-2.603088401;-2.525065704;-2.511378505;188
-0.553183334;-2.426474545;-2.416713696;-2.46274346;-2.661112215;188
-0.576754126;-2.4554421;-2.296028388;-2.241677529;-2.155521022;217
